time,x,y,z,w0,w1,w2,w3,vx,vy,vz,roll,pitch,yaw
0,-0.553512914736674,-0.7688851023511588,0,-0.0,-0.0,-0.8678564678010574,0.4968150071162023,0.0,0.0,0.0,0,0,0.0
0,-0.5569275675062073,-0.7745389606859328,0,-0.0,-0.0,-0.871333024319782,0.49069212417741354,0.0,0.0,0.0,0,0,0.0
0,-0.5603547612139035,-0.7801745706158384,0,-0.0,-0.0,-0.8746367127376604,0.48477894006594324,0.0,0.0,0.0,0,0,0.0
0,-0.5638068961655998,-0.7858040134977267,0,-0.0,-0.0,-0.8777799026706966,0.4790641318940737,0.0,0.0,0.0,0,0,0.0
0,-0.5672892103367525,-0.7914190333337837,0,-0.0,-0.0,-0.8807709746697233,0.4735424903631623,0.0,0.0,0.0,0,0,0.0
0,-0.5707320425486029,-0.7970605756753845,0,-0.0,-0.0,-0.8836026580251365,0.4682374853970085,0.0,0.0,0.0,0,0,0.0
0,-0.5741684735066487,-0.8027008621545456,0,-0.0,-0.0,-0.8862811987731162,0.46314753232775413,0.0,0.0,0.0,0,0,0.0
0,-0.5776834588616327,-0.8082964181182227,0,-0.0,-0.0,-0.8890140674886838,0.45787988360183063,0.0,0.0,0.0,0,0,0.0
0,-0.5812803889556881,-0.813843384300841,0,-0.0,-0.0,-0.8917624025058756,0.4525039419463093,0.0,0.0,0.0,0,0,0.0
0,-0.5849298032738582,-0.8193576038619991,0,-0.0,-0.0,-0.8943560370867741,0.4473558750328879,0.0,0.0,0.0,0,0,0.0
0,-0.5886140822981568,-0.8248477107680414,0,-0.0,-0.0,-0.8967868956938917,0.4424627257879618,0.0,0.0,0.0,0,0,0.0
0,-0.5923321259774428,-0.8303159065117361,0,-0.0,-0.0,-0.8990730347773122,0.4377986730636744,0.0,0.0,0.0,0,0,0.0
0,-0.5960453663712487,-0.8357837706767413,0,-0.0,-0.0,-0.9012211565316486,0.4333594662860819,0.0,0.0,0.0,0,0,0.0
0,-0.599719960520551,-0.8412698392441789,0,-0.0,-0.0,-0.9032402117927877,0.4291353164218951,0.0,0.0,0.0,0,0,0.0
0,-0.6033717047364876,-0.8467651397681448,0,-0.0,-0.0,-0.9051694346002546,0.4250509318487085,0.0,0.0,0.0,0,0,0.0
0,-0.6070628282051233,-0.8522359950460778,0,-0.0,-0.0,-0.9071398248283171,0.42082934570969516,0.0,0.0,0.0,0,0,0.0
0,-0.6109534336908858,-0.8575793220872032,0,-0.0,-0.0,-0.9092054506260505,0.41634774954583387,0.0,0.0,0.0,0,0,0.0
0,-0.6149230585920069,-0.8628589145078013,0,-0.0,-0.0,-0.9113181049592406,0.41170294093374965,0.0,0.0,0.0,0,0,0.0
0,-0.6189154925805985,-0.868125262243767,0,-0.0,-0.0,-0.9133041573943567,0.4072781802235227,0.0,0.0,0.0,0,0,0.0
0,-0.6229610748036354,-0.873362925115398,0,-0.0,-0.0,-0.9151505884950347,0.4031121436736825,0.0,0.0,0.0,0,0,0.0
0,-0.627014439923454,-0.8786007373909015,0,-0.0,-0.0,-0.9168880765530005,0.3991444037875755,0.0,0.0,0.0,0,0,0.0
0,-0.6310450214937806,-0.8838495680839844,0,-0.0,-0.0,-0.9184930064254361,0.3954372227643268,0.0,0.0,0.0,0,0,0.0
0,-0.6350031993712396,-0.889137949609065,0,-0.0,-0.0,-0.9200325504348861,0.3918419402517791,0.0,0.0,0.0,0,0,0.0
0,-0.6389784876353337,-0.8944203994650871,0,-0.0,-0.0,-0.9216159698881214,0.3881030843051588,0.0,0.0,0.0,0,0,0.0
0,-0.6430936672169436,-0.8995988471767737,0,-0.0,-0.0,-0.9232858227338657,0.3841136414378546,0.0,0.0,0.0,0,0,0.0
0,-0.6473320496675266,-0.9046838838464687,0,-0.0,-0.0,-0.9250499253980753,0.3798455416626808,0.0,0.0,0.0,0,0,0.0
0,-0.6516246158965381,-0.9097092797087817,0,-0.0,-0.0,-0.9269031872443875,0.37530052155065824,0.0,0.0,0.0,0,0,0.0
0,-0.6560027843022415,-0.9146676523848121,0,-0.0,-0.0,-0.9287786982599704,0.3706347658524697,0.0,0.0,0.0,0,0,0.0
0,-0.6604109917787121,-0.9195909083406009,0,-0.0,-0.0,-0.930554963160152,0.3661522368332717,0.0,0.0,0.0,0,0,0.0
0,-0.6648108612013413,-0.9245262041059495,0,-0.0,-0.0,-0.932206362811023,0.36192719866658724,0.0,0.0,0.0,0,0,0.0
0,-0.6691681984066932,-0.9294877741772597,0,-0.0,-0.0,-0.9337448526792276,0.35793931063107276,0.0,0.0,0.0,0,0,0.0
0,-0.6734946248281755,-0.9344863978363855,0,-0.0,-0.0,-0.9351995073675133,0.3541212806646337,0.0,0.0,0.0,0,0,0.0
0,-0.6778192397546748,-0.9394938686576971,0,-0.0,-0.0,-0.93668933216467,0.35016152702560654,0.0,0.0,0.0,0,0,0.0
0,-0.6823242829967486,-0.9443461892348246,0,-0.0,-0.0,-0.9382360520169736,0.3459958246794358,0.0,0.0,0.0,0,0,0.0
0,-0.687009981408008,-0.94903208192737,0,-0.0,-0.0,-0.9398648489155775,0.34154657921416604,0.0,0.0,0.0,0,0,0.0
0,-0.6917346909090138,-0.9536750685944405,0,-0.0,-0.0,-0.9415233796636482,0.336947659951426,0.0,0.0,0.0,0,0,0.0
0,-0.6964924615917971,-0.9582850175481505,0,-0.0,-0.0,-0.9430685163100361,0.33259851705139526,0.0,0.0,0.0,0,0,0.0
0,-0.7012680308121325,-0.9628719204722203,0,-0.0,-0.0,-0.9445101656603249,0.32848218667730794,0.0,0.0,0.0,0,0,0.0
0,-0.7060199029102933,-0.9674675088574102,0,-0.0,-0.0,-0.9458626902812076,0.3245670518305829,0.0,0.0,0.0,0,0,0.0
0,-0.710746162146242,-0.9720795542857246,0,-0.0,-0.0,-0.9471583122943565,0.32076647494977756,0.0,0.0,0.0,0,0,0.0
0,-0.7154386924553225,-0.9767290534612061,0,-0.0,-0.0,-0.9484932565232347,0.31679732058518006,0.0,0.0,0.0,0,0,0.0
0,-0.7202561879387092,-0.9812673839283459,0,-0.0,-0.0,-0.9498806449000111,0.3126127963541142,0.0,0.0,0.0,0,0,0.0
0,-0.7252124064048623,-0.9856678227849989,0,-0.0,-0.0,-0.9513256776160561,0.3081873701311455,0.0,0.0,0.0,0,0,0.0
0,-0.7302338130798592,-0.9899883404195382,0,-0.0,-0.0,-0.9528373890195975,0.3034813175243517,0.0,0.0,0.0,0,0,0.0
0,-0.7353217554676411,-0.9942335741033062,0,-0.0,-0.0,-0.9543756521204529,0.29860863122096815,0.0,0.0,0.0,0,0,0.0
0,-0.740456004231653,-0.998427282687693,0,-0.0,-0.0,-0.9558286568652878,0.2939244438883909,0.0,0.0,0.0,0,0,0.0
